ID,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
1826,6/16/14,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP
1,6/15/14,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA
10476,5/13/14,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US
1386,05-11-2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS
5371,04-08-2014,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP
7348,3/17/14,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP
4073,1/29/14,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER
1991,1/18/14,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP
4047,01-11-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US
9477,01-11-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND
2079,12/27/13,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US
5642,12-09-2013,0,140,4,61,0,13,4,2,3,1,6,4,0,,0,0,0,0,0,SP
10530,12-07-2013,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND
2964,10/16/13,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA
10311,10-05-2013,0,16,4,12,2,4,321,0,25,0,0,1,0,,0,0,0,0,0,SP
837,09-11-2013,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP
10521,09-11-2013,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP
10175,08-01-2013,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP
1473,7/23/13,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA
2795,07-01-2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA
2285,5/28/13,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA
115,3/26/13,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND
10470,3/15/13,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER
4065,02-12-2013,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP
10968,11/23/12,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND
5985,10/13/12,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP
5430,9/14/12,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP
8432,9/14/12,0,454,0,171,8,19,32,,9,2,8,8,0,0,0,0,0,0,0,SP
453,6/29/14,1,27,0,12,0,1,5,2,2,0,3,5,0,0,,0,0,0,0,SP
9687,5/31/14,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA
8890,5/30/14,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP
9264,4/27/14,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA
5824,04-11-2014,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS
5794,3/17/14,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND
3068,10/29/13,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP
7962,10-09-2013,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP
2681,08-01-2013,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP
10141,05-10-2013,1,7,1,6,0,3,3,1,0,0,3,4,0,,0,0,0,0,0,SA
3725,05-09-2013,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP
3767,4/25/13,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP
5585,4/20/13,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA
7030,3/30/13,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP
1524,03-01-2013,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP
3657,2/14/13,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP
5740,2/14/13,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP
9595,01-11-2013,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP
3158,01-03-2013,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP
5114,12/19/12,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS
340,12/15/12,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER
8805,12-02-2012,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US
1241,9/17/12,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER
1402,09-11-2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER
7264,05-12-2014,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA
1619,4/28/14,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP
6398,3/29/14,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP
1857,03-06-2014,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP
4877,03-04-2014,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND
3066,02-04-2014,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA
10286,02-03-2014,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA
1992,01-01-2014,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP
4246,12-12-2013,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP
10623,11/15/13,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP
4867,9/20/13,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP
3112,09-05-2013,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP
4865,8/31/13,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS
6287,7/30/13,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP
4405,7/30/13,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS
5332,7/27/13,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND
1519,6/22/13,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP
9080,6/22/13,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP
1772,01-11-2013,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA
5341,01-05-2013,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA
5510,11/21/12,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP
3887,11-11-2012,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND
7022,9/28/12,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,SA
9999,9/27/12,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,SP
10352,09-07-2012,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA
7919,8/13/12,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,SP
4114,08-11-2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AUS
7990,08-02-2012,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA
9888,6/25/14,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,SP
4399,6/25/14,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,CA
4452,5/28/14,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,GER
4785,4/14/14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,SA
8461,03-10-2014,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP
3878,2/27/14,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,SP
9612,02-07-2014,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP
4098,1/28/14,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,AUS
